Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
DE;DE2370076093;6820;DE;DE2370014431;6190378;9;23648957;266495
DE;DE2370168484;4643;DE;DE2370077976;224606;5;9;-50698
DE;DE2370005861;3092;DE;DE2370153779;49964666;172;1601112;-312306
DE;DE2011758557;3521;DE;DE2370199654;1258818;3;806661;-639
DE;DE2011758562;3521;DE;DE2370199654;1337557;3;808095;61508
DE;DE2011772440;3521;DE;DE2370199654;1360241;3;1057423;113617
DE;DE2011772723;3521;DE;DE2370199654;1326000;3;1058970;22409
DE;DE2011774957;3521;DE;DE2370199654;1305034;3;651524;25648
DE;DE2011884951;3521;DE;DE2370199654;1332913;3;1102554;87350
DE;DE2011896370;3521;DE;DE2370199654;1341876;3;1057423;32080
DE;DE3450094383;3521;DE;DE2370199654;989031;3;2345699;-12960
DE;DE3050173438;8810;DE;DE2370205324;4459646;140;67632;112980
DE;DE2370163247;2511;DE;DE2370212650;34304178;139;139832;279074
DE;DE2370012774;4321;DE;DE2370250798;21906053;177;621533;219642
DE;DE2370263975;4673;DE;DE2370293973;1094436;1;81084;40110
DE;DE2370301208;3514;DE;DE2370295093;20933764;9;13117;668341
DE;DE2370025309;4725;DE;DE2370317890;5593533;47;366563;-46724
DE;DE2370190451;6420;DE;DE2370317890;34714367;30;318501;1549348
DE;DE2370007185;4291;DE;DE2370317906;47745442;159;4369642;1450264
DE;DE2250023719;892;DE;DE2370320811;2484745;15;3371766;126857
AT;AT9150017818;2361;DE;DE2-37133;484520;66;4895667;-592503
DE;DE5070004530;7010;DE;DE2-37133;11643029;67;2030150;17111725
SI;SI5033152;2361;DE;DE2-37133;8069777;57;4739656;80002
DE;DE6070508554;5223;DE;DE2-37184;137562982;3600;638303;7685228
DE;DE2390178244;6203;DE;DE2390000084;1246539;6;168648;624
ES;ESA08217267;2829;DE;DE2390000084;5756116;16;130424;50748
FR;FR672005097;4669;DE;DE2390000084;13484551;35;1169706;22619
GB;GB01055930;4690;DE;DE2390000084;9765935;30;370487;621508
PL;PL191501478;9601;DE;DE2390000544;388906;4;4227;35227
DE;DE2390120484;4675;DE;DE2390013211;114726875;41;1930468;1565043
