Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
FR;FR321091043;7112;n.a.;WW*20502393;5940000;27;13330;-150644
FR;FR338795826;2511;n.a.;WW*20502393;11114098;47;651335;420443
FR;FR347422529;2511;n.a.;WW*20502393;6512212;46;312098;175153
FR;FR391374519;3320;n.a.;WW*20502393;1566932;25;11539;-8961
FR;FR423453448;2562;n.a.;WW*20502393;3361190;33;30871;-197776
FR;FR530915578;3311;n.a.;WW*20502393;7171155;37;39145;465045
FR;FR538465915;7112;n.a.;WW*20502393;7136285;1;11689;518351
FR;FR539301952;2511;n.a.;WW*20502393;246839;6;1;35213
FR;FR494080716;9604;n.a.;WW*20503158;1173349;1;2498386;-1839220
FR;FR518791140;8891;n.a.;WW*20503158;569630;9;465106;-118948
FR;FR381414895;2042;n.a.;WW*20503636;9937000;8;64543;13929
ES;ESB61456380;7810;n.a.;WW*20503813;840261;11;14818;13197
ES;ESB81171712;7820;n.a.;WW*20503813;57496492;2047;168432;176960
ES;ESB82055229;8299;n.a.;WW*20503813;1191300;47;15040;37112
ES;ESB85751576;8299;n.a.;WW*20503813;8525972;357;54345;123504
FR;FR303409247;7740;n.a.;WW*20503813;3307142;1;1;4599600
FR;FR309979631;7820;n.a.;WW*20503813;135529972;3346;2438;5542004
FR;FR334077138;7022;n.a.;WW*20503813;3741678;30;39695;3412
FR;FR343168399;8559;n.a.;WW*20503813;2005673;20;44514;-443110
FR;FR489466474;6311;n.a.;WW*20503813;1016929;7;21020;281069
FR;FR552118101;8299;n.a.;WW*20503813;3168515;72;11327;32350
FR;FR572181097;4120;n.a.;WW*20503813;22839;1;1;1341
FR;FR642009583;7820;n.a.;WW*20503813;35411048;815;3072;1083846
FR;FR652016270;4669;n.a.;WW*20503813;5697380;27;176388;-744384
FR;FR732050026;3312;n.a.;WW*20503813;36155311;282;685330;1393169
FR;FR732050034;7112;n.a.;WW*20503813;20786623;334;248249;80914
GB;GB07302374;9609;n.a.;WW*20503813;6853214;160;40731;253775
IE;IE389875;5223;n.a.;WW*20503813;692825;17;26784;23841
FR;FR333344844;2893;n.a.;WW*20503816;9875404;1;79844;540344
FR;FR410275176;4752;n.a.;WW*20520299;5724000;1;136543;402330
FR;FR434039970;4752;n.a.;WW*20520299;2885000;1;358728;369033
FR;FR320587868;4666;n.a.;WW*20523300;6989795;44;748665;826832
FR;FR337521397;4666;n.a.;WW*20523300;10193400;48;208136;679471
FR;FR381523331;4666;n.a.;WW*20523300;2304472;6;40510;101828
FR;FR453879397;4651;n.a.;WW*20523300;2985581;12;6937;-171078
FR;FR424388486;4120;n.a.;WW*20525541;1797120;1;14318;56424
FR;FR440455467;4399;n.a.;WW*20527553;3025385;29;96333;7144
FR;FR497961995;4752;n.a.;WW*20529229;600000;1;25072;25911
FR;FR378220248;4312;n.a.;WW*20530095;2701386;15;70841;63374
FR;FR435013792;4941;n.a.;WW*20530095;170000;1;89;12671
FR;FR452161185;4771;n.a.;WW*20533543;1097000;1;75633;131891
FR;FR483259644;4771;n.a.;WW*20533543;587791;3;26038;34325
FR;FR498806595;4771;n.a.;WW*20533543;341640;1;45943;3080
FR;FR520982406;4771;n.a.;WW*20533543;428652;2;40137;30837
FR;FR449047554;4511;n.a.;WW*20536723;1158867;1;58368;21533
FR;FR332551985;7010;n.a.;WW*20537044;2844127;12;22023;648702
FR;FR535720189;2593;n.a.;WW*20537044;5110654;19;20643;272561
FR;FR721720936;2593;n.a.;WW*20537044;4044848;22;58341;379441
FR;FR414914697;4511;n.a.;WW*20538556;5084234;1;10083;8344
GB;GB06846262;4724;n.a.;WW*205522459;21590;1;151258;-107978
FR;FR349021477;4778;n.a.;WW*20552806;1248255;3;1201;10246
FR;FR377850292;4778;n.a.;WW*20552806;19238848;1;83628;77327
FR;FR388381600;4730;n.a.;WW*20552806;3203864;4;48874;3263
